"Response number","Vote for the student council party"
306,"- No vote (ไม่ประสงค์ลงคะเเนน)"
307,"- No vote (ไม่ประสงค์ลงคะเเนน)"
308,"- Endorse (รับรอง)"
309,"- Endorse (รับรอง)"
310,"- Endorse (รับรอง)"
311,"- Endorse (รับรอง)"
312,"- Endorse (รับรอง)"
313,"- Endorse (รับรอง)"
314,"- Endorse (รับรอง)"
315,"- No vote (ไม่ประสงค์ลงคะเเนน)"
316,"- Endorse (รับรอง)"
317,"- Endorse (รับรอง)"
318,"- Endorse (รับรอง)"
319,"- No vote (ไม่ประสงค์ลงคะเเนน)"
320,"- Endorse (รับรอง)"
321,"- Endorse (รับรอง)"
322,"- Endorse (รับรอง)"
323,"- Endorse (รับรอง)"
324,"- Endorse (รับรอง)"
325,"- No vote (ไม่ประสงค์ลงคะเเนน)"
326,"- No vote (ไม่ประสงค์ลงคะเเนน)"
327,"- No vote (ไม่ประสงค์ลงคะเเนน)"
328,"- Endorse (รับรอง)"
329,"- Endorse (รับรอง)"
330,"- Endorse (รับรอง)"
331,"- Endorse (รับรอง)"
332,"- Endorse (รับรอง)"
333,"- Endorse (รับรอง)"
334,"- Endorse (รับรอง)"
335,"- No vote (ไม่ประสงค์ลงคะเเนน)"
336,"- Endorse (รับรอง)"
337,"- Endorse (รับรอง)"
338,"- Endorse (รับรอง)"
339,"- Endorse (รับรอง)"
340,"- Endorse (รับรอง)"
341,"- Endorse (รับรอง)"
342,"- Endorse (รับรอง)"
343,"- No vote (ไม่ประสงค์ลงคะเเนน)"
344,"- No vote (ไม่ประสงค์ลงคะเเนน)"
345,"- Endorse (รับรอง)"
346,"- Endorse (รับรอง)"
347,"- Endorse (รับรอง)"
348,"- No vote (ไม่ประสงค์ลงคะเเนน)"
349,"- Endorse (รับรอง)"
350,"- Endorse (รับรอง)"
351,"- Endorse (รับรอง)"
352,"- Endorse (รับรอง)"
353,"- Endorse (รับรอง)"
354,"- Endorse (รับรอง)"
355,"- Endorse (รับรอง)"
356,"- Endorse (รับรอง)"
357,"- Endorse (รับรอง)"
358,"- No vote (ไม่ประสงค์ลงคะเเนน)"
359,"- Endorse (รับรอง)"
360,"- Endorse (รับรอง)"
361,"- No vote (ไม่ประสงค์ลงคะเเนน)"
362,"- Endorse (รับรอง)"
363,"- Endorse (รับรอง)"
364,"- Endorse (รับรอง)"
365,"- Endorse (รับรอง)"
366,"- Endorse (รับรอง)"
367,"- Endorse (รับรอง)"
368,"- Endorse (รับรอง)"
369,"- Endorse (รับรอง)"
370,"- Endorse (รับรอง)"
371,"- No vote (ไม่ประสงค์ลงคะเเนน)"
372,"- No vote (ไม่ประสงค์ลงคะเเนน)"
373,"- Endorse (รับรอง)"
374,"- Endorse (รับรอง)"
375,"- No vote (ไม่ประสงค์ลงคะเเนน)"
376,"- No vote (ไม่ประสงค์ลงคะเเนน)"
377,"- No vote (ไม่ประสงค์ลงคะเเนน)"
378,"- Endorse (รับรอง)"
379,"- Endorse (รับรอง)"
380,"- Endorse (รับรอง)"
381,"- Endorse (รับรอง)"
382,"- No vote (ไม่ประสงค์ลงคะเเนน)"
383,"- No vote (ไม่ประสงค์ลงคะเเนน)"
384,"- No vote (ไม่ประสงค์ลงคะเเนน)"
385,"- Endorse (รับรอง)"
386,"- Endorse (รับรอง)"
